Additional Surge,Base Capacity,Count Booking,Count Quotation,Date,Forecast-Act.,M-000,M-010,M-020,M-030,M-040,M-050,M-060,M-070,M-080,M-090,M-100,M-120,M-140,M-170,M-200,M-250,M-300,Manual Count Booking,Manual Count Quotation,Total DP,Total SP,Weekday,Yield
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2018-12-26,3,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,Wed,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2018-12-27,3,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,Thu,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2018-12-28,2,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,Fri,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2018-12-29,3,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,Sat,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2018-12-30,3,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,Sun,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2018-12-31,2,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,Mon,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-01,2,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,Tue,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-02,3,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,Wed,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-03,3,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,Thu,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-04,2,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,Fri,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-05,2,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,Sat,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-06,3,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,Sun,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-07,2,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,Mon,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-08,2,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,Tue,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-09,3,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,Wed,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-10,3,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,Thu,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-11,2,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,Fri,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-12,2,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,Sat,0.0% Drop
